No,building_name,category,prefecture,city,station_num,station,method,time,age,total_stairs,stairs,layout,room_num,space,south,corner,rent,unit_price,url
1,アクア・イゾラ,マンション,神奈川県,川崎市中原区,3,平間,walk,4,12,8,6,1K,1,25.26,1,0,100000,3958.82818685669,https://sumaity.com/chintai/kanagawa_prop/prop_287832475/
2,アクア・イゾラ,マンション,神奈川県,川崎市中原区,3,平間,walk,4,12,8,3,1K,1,25.26,0,0,98000,3879.6516231195565,https://sumaity.com/chintai/kanagawa_prop/prop_285957991/
3,アクア・イゾラ,マンション,神奈川県,川崎市中原区,3,平間,walk,4,12,8,3,1K,1,25.26,1,1,95000,3760.8867775138556,https://sumaity.com/chintai/kanagawa_prop/prop_287060889/
4,シャルマン・Ｋ,マンション,神奈川県,川崎市幸区,3,新川崎,walk,23,3,3,2,1LDK,1,36.74,1,1,96500,2626.5650517147524,https://sumaity.com/chintai/kanagawa_prop/prop_285745759/
5,シャルマン・Ｋ,マンション,神奈川県,川崎市幸区,3,新川崎,walk,23,3,3,1,1LDK,1,36.74,1,1,93500,2544.9101796407185,https://sumaity.com/chintai/kanagawa_prop/prop_284760321/
6,タウンハウス小倉,アパート,神奈川県,川崎市幸区,1,矢向,walk,12,4,3,3,1LDK,1,40.37,1,0,100000,2477.086945751796,https://sumaity.com/chintai/kanagawa_prop/prop_253602072/
7,タウンハウス小倉,アパート,神奈川県,川崎市幸区,1,矢向,walk,12,4,3,3,1LDK,1,40.37,1,0,100000,2477.086945751796,https://sumaity.com/chintai/kanagawa_prop/prop_286542727/
8,タウンハウス小倉,アパート,神奈川県,川崎市幸区,1,矢向,walk,12,4,3,1,1DK,1,27.33,0,0,72000,2634.4676180021956,https://sumaity.com/chintai/kanagawa_prop/prop_272570793/
9,Regulus,アパート,神奈川県,川崎市中原区,1,平間,walk,8,2,2,2,1LDK,1,37.2,1,0,99000,2661.290322580645,https://sumaity.com/chintai/kanagawa_prop/prop_270551351/
10,パークサイド成幸,マンション,神奈川県,川崎市幸区,1,川崎,bus,9,22,4,4,1DK,1,32.4,0,1,86000,2654.320987654321,https://sumaity.com/chintai/kanagawa_prop/prop_282571113/
11,グレイス大栄,マンション,神奈川県,川崎市幸区,3,矢向,walk,11,28,3,3,1K,1,16.47,0,0,62000,3764.4201578627813,https://sumaity.com/chintai/kanagawa_prop/prop_286996583/
12,グレイス大栄,マンション,神奈川県,川崎市幸区,3,矢向,walk,11,28,3,3,1K,1,16.47,0,0,62000,3764.4201578627813,https://sumaity.com/chintai/kanagawa_prop/prop_284917181/
13,グレイス大栄,マンション,神奈川県,川崎市幸区,3,矢向,walk,11,28,3,2,1K,1,16.47,0,0,61000,3703.703703703704,https://sumaity.com/chintai/kanagawa_prop/prop_281698786/
14,グレイス大栄,マンション,神奈川県,川崎市幸区,3,矢向,walk,11,28,3,2,1K,1,16.47,0,0,60000,3642.987249544627,https://sumaity.com/chintai/kanagawa_prop/prop_288096575/
15,コルディアＯＤＡ,マンション,神奈川県,川崎市川崎区,1,川崎,bus,18,14,4,2,1K,1,20.47,0,0,73000,3566.1944308744505,https://sumaity.com/chintai/kanagawa_prop/prop_287267053/
16,コルディアＯＤＡ,マンション,神奈川県,川崎市川崎区,1,川崎,bus,18,14,4,2,1K,1,25.13,0,1,75000,2984.4807003581377,https://sumaity.com/chintai/kanagawa_prop/prop_280584796/
17,大岡,マンション,神奈川県,川崎市幸区,3,新川崎,walk,4,33,3,1,1DK,1,28.8,1,1,65000,2256.9444444444443,https://sumaity.com/chintai/kanagawa_prop/prop_280629855/
18,エクセレントＮ．Ａ,マンション,神奈川県,川崎市幸区,2,鹿島田,walk,7,27,4,2,1K,1,18.95,1,0,55000,2902.3746701846967,https://sumaity.com/chintai/kanagawa_prop/prop_287571027/
19,エクセレントＮ．Ａ,マンション,神奈川県,川崎市幸区,2,鹿島田,walk,7,27,4,2,1K,1,18.95,1,0,55000,2902.3746701846967,https://sumaity.com/chintai/kanagawa_prop/prop_287908563/
20,岩村ビル,マンション,神奈川県,川崎市中原区,1,平間,walk,4,35,5,3,1R,1,25.0,0,0,70000,2800.0,https://sumaity.com/chintai/kanagawa_prop/prop_283193051/
21,岩村ビル,マンション,神奈川県,川崎市中原区,1,平間,walk,4,35,5,,1DK,1,25.0,0,1,70000,2800.0,https://sumaity.com/chintai/kanagawa_prop/prop_274204942/
22,柳澤ハイツ,マンション,神奈川県,川崎市幸区,3,平間,walk,15,28,6,6,1K,1,15.7,1,0,58000,3694.267515923567,https://sumaity.com/chintai/kanagawa_prop/prop_281022551/
23,メゾンブランカ,アパート,神奈川県,川崎市幸区,1,鹿島田,walk,16,3,2,1,1LDK,1,38.12,1,1,98000,2570.828961175236,https://sumaity.com/chintai/kanagawa_prop/prop_285109409/
24,ユナイト小倉モッキンポット,アパート,神奈川県,川崎市幸区,2,新川崎,walk,20,5,2,1,1R,1,11.17,0,1,57500,5147.717099373322,https://sumaity.com/chintai/kanagawa_prop/prop_276002094/
